chr	start	end	JLDS017
chr1	10000	20000	0.851
chr1	130000	140000	0.937
chr1	520000	530000	0.938
chr1	530000	540000	0.878
chr1	540000	550000	0.759
chr1	560000	570000	0.355
chr1	660000	670000	0.940
chr1	710000	720000	0.368
chr1	720000	730000	0.865
chr1	750000	760000	0.791
chr1	760000	770000	0.333
chr1	770000	780000	0.928
chr1	780000	790000	0.891
chr1	790000	800000	0.759
chr1	800000	810000	0.562
chr1	810000	820000	0.820
chr1	820000	830000	0.853
chr1	830000	840000	0.739
chr1	840000	850000	0.413
chr1	850000	860000	0.411
chr1	860000	870000	0.400
chr1	870000	880000	0.238
chr1	880000	890000	0.922
chr1	890000	900000	0.479
chr1	900000	910000	0.618
chr1	910000	920000	0.704
chr1	920000	930000	0.875
chr1	930000	940000	0.216
chr1	940000	950000	0.699
chr1	950000	960000	0.404
chr1	960000	970000	0.311
chr1	970000	980000	0.581
chr1	980000	990000	0.891
chr1	990000	1000000	0.469
chr1	1000000	1010000	0.533
chr1	1010000	1020000	0.699
chr1	1020000	1030000	0.921
chr1	1030000	1040000	0.953
chr1	1040000	1050000	0.888
chr1	1050000	1060000	0.397
chr1	1060000	1070000	0.907
chr1	1070000	1080000	0.681
chr1	1080000	1090000	0.896
chr1	1090000	1100000	0.701
chr1	1100000	1110000	0.708
chr1	1110000	1120000	0.856
chr1	1120000	1130000	0.844
chr1	1130000	1140000	0.600
chr1	1140000	1150000	0.659
chr1	1150000	1160000	0.899
chr1	1160000	1170000	0.575
chr1	1170000	1180000	0.754
chr1	1180000	1190000	0.613
chr1	1190000	1200000	0.905
chr1	1200000	1210000	0.436
chr1	1210000	1220000	0.820
chr1	1220000	1230000	0.776
chr1	1230000	1240000	0.734
chr1	1240000	1250000	0.289
chr1	1250000	1260000	0.601
chr1	1260000	1270000	0.681
chr1	1270000	1280000	0.862
chr1	1280000	1290000	0.249
chr1	1290000	1300000	0.388
chr1	1300000	1310000	0.735
chr1	1310000	1320000	0.509
chr1	1320000	1330000	0.926
chr1	1330000	1340000	0.362
chr1	1340000	1350000	0.399
chr1	1350000	1360000	0.557
chr1	1360000	1370000	0.446
chr1	1370000	1380000	0.637
chr1	1380000	1390000	0.890
chr1	1390000	1400000	0.853
chr1	1400000	1410000	0.445
chr1	1410000	1420000	0.930
chr1	1420000	1430000	0.950
chr1	1430000	1440000	0.918
chr1	1440000	1450000	0.386
chr1	1450000	1460000	0.887
chr1	1460000	1470000	0.934
chr1	1470000	1480000	0.549
chr1	1480000	1490000	0.826
chr1	1490000	1500000	0.849
chr1	1500000	1510000	0.579
chr1	1510000	1520000	0.440
chr1	1520000	1530000	0.864
chr1	1530000	1540000	0.366
chr1	1540000	1550000	0.779
chr1	1550000	1560000	0.469
chr1	1560000	1570000	0.540
chr1	1570000	1580000	0.907
chr1	1580000	1590000	0.940
chr1	1590000	1600000	0.603
chr1	1600000	1610000	0.899
chr1	1610000	1620000	0.844
chr1	1620000	1630000	0.444
chr1	1630000	1640000	0.895
chr1	1640000	1650000	0.916
chr1	1650000	1660000	0.596
chr1	1660000	1670000	0.904
chr1	1670000	1680000	0.730
chr1	1680000	1690000	0.899
chr1	1690000	1700000	0.901
chr1	1700000	1710000	0.463
chr1	1710000	1720000	0.384
chr1	1720000	1730000	0.866
chr1	1730000	1740000	0.863
chr1	1740000	1750000	0.901
chr1	1750000	1760000	0.895
chr1	1760000	1770000	0.854
chr1	1770000	1780000	0.788
chr1	1780000	1790000	0.827
chr1	1790000	1800000	0.762
chr1	1800000	1810000	0.838
chr1	1810000	1820000	0.793
chr1	1820000	1830000	0.215
chr1	1830000	1840000	0.807
chr1	1840000	1850000	0.525
chr1	1850000	1860000	0.611
chr1	1860000	1870000	0.886
chr1	1870000	1880000	0.775
chr1	1880000	1890000	0.923
chr1	1890000	1900000	0.715
chr1	1900000	1910000	0.861
chr1	1910000	1920000	0.902
